"id","name","number"
"partner_municipality.municipality_194","Aabenraa","580"
"partner_municipality.municipality_195","Aalborg","851"
"partner_municipality.municipality_193","Ærø","492"
"partner_municipality.municipality_100","Albertslund","165"
"partner_municipality.municipality_101","Allerød","201"
"partner_municipality.municipality_196","Århus","751"
"partner_municipality.municipality_102","Assens","420"
"partner_municipality.municipality_103","Ballerup","151"
"partner_municipality.municipality_104","Billund","530"
"partner_municipality.municipality_105","Bornholms Regionsk.","400"
"partner_municipality.municipality_106","Brøndby","153"
"partner_municipality.municipality_107","Brønderslev","810"
"partner_municipality.municipality_108","Dragør","155"
"partner_municipality.municipality_109","Egedal","240"
"partner_municipality.municipality_110","Esbjerg","561"
"partner_municipality.municipality_120","Faaborg-Midtfyn","430"
"partner_municipality.municipality_111","Fanø","563"
"partner_municipality.municipality_112","Favrskov","710"
"partner_municipality.municipality_113","Faxe","320"
"partner_municipality.municipality_114","Fredensborg","210"
"partner_municipality.municipality_115","Fredericia","607"
"partner_municipality.municipality_116","Frederiksberg","147"
"partner_municipality.municipality_117","Frederikshavn","813"
"partner_municipality.municipality_118","Frederikssund","250"
"partner_municipality.municipality_119","Furesø","190"
"partner_municipality.municipality_121","Gentofte","157"
"partner_municipality.municipality_122","Gladsaxe","159"
"partner_municipality.municipality_123","Glostrup","161"
"partner_municipality.municipality_124","Greve","253"
"partner_municipality.municipality_125","Gribskov","270"
"partner_municipality.municipality_126","Guldborgsund","376"
"partner_municipality.municipality_127","Haderslev","510"
"partner_municipality.municipality_128","Halsnæs","260"
"partner_municipality.municipality_129","Hedensted","766"
"partner_municipality.municipality_130","Helsingør","217"
"partner_municipality.municipality_131","Herlev","163"
"partner_municipality.municipality_132","Herning","657"
"partner_municipality.municipality_133","Hillerød","219"
"partner_municipality.municipality_134","Hjørring","860"
"partner_municipality.municipality_139","Høje-Taastrup","169"
"partner_municipality.municipality_135","Holbæk","316"
"partner_municipality.municipality_136","Holstebro","661"
"partner_municipality.municipality_137","Horsens","615"
"partner_municipality.municipality_140","Hørsholm","223"
"partner_municipality.municipality_138","Hvidovre","167"
"partner_municipality.municipality_141","Ikast-Brande","756"
"partner_municipality.municipality_142","Ishøj","183"
"partner_municipality.municipality_143","Jammerbugt","849"
"partner_municipality.municipality_144","Kalundborg","326"
"partner_municipality.municipality_145","Kerteminde","440"
"partner_municipality.municipality_99","København","101"
"partner_municipality.municipality_147","Køge","259"
"partner_municipality.municipality_146","Kolding","621"
"partner_municipality.municipality_153","Læsø","825"
"partner_municipality.municipality_148","Langeland","482"
"partner_municipality.municipality_149","Lejre","350"
"partner_municipality.municipality_150","Lemvig","665"
"partner_municipality.municipality_151","Lolland","360"
"partner_municipality.municipality_152","Lyngby-Taarbæk","173"
"partner_municipality.municipality_154","Mariagerfjord","846"
"partner_municipality.municipality_155","Middelfart","410"
"partner_municipality.municipality_156","Morsø","773"
"partner_municipality.municipality_160","Næstved","370"
"partner_municipality.municipality_157","Norddjurs","707"
"partner_municipality.municipality_158","Nordfyn","480"
"partner_municipality.municipality_159","Nyborg","450"
"partner_municipality.municipality_161","Odder","727"
"partner_municipality.municipality_162","Odense","461"
"partner_municipality.municipality_163","Odsherred","306"
"partner_municipality.municipality_164","Randers","730"
"partner_municipality.municipality_165","Rebild","840"
"partner_municipality.municipality_166","Ringkøbing-Skjern","760"
"partner_municipality.municipality_167","Ringsted","329"
"partner_municipality.municipality_170","Rødovre","175"
"partner_municipality.municipality_168","Roskilde","265"
"partner_municipality.municipality_169","Rudersdal","230"
"partner_municipality.municipality_171","Samsø","741"
"partner_municipality.municipality_172","Silkeborg","740"
"partner_municipality.municipality_173","Skanderborg","746"
"partner_municipality.municipality_174","Skive","779"
"partner_municipality.municipality_175","Slagelse","330"
"partner_municipality.municipality_176","Solrød","269"
"partner_municipality.municipality_182","Sønderborg","540"
"partner_municipality.municipality_177","Sorø","340"
"partner_municipality.municipality_178","Stevns","336"
"partner_municipality.municipality_179","Struer","671"
"partner_municipality.municipality_180","Svendborg","479"
"partner_municipality.municipality_181","Syddjurs","706"
"partner_municipality.municipality_197","Sydslesvig","999"
"partner_municipality.municipality_185","Tårnby","185"
"partner_municipality.municipality_183","Thisted","787"
"partner_municipality.municipality_184","Tønder","550"
"partner_municipality.municipality_186","Vallensbæk","187"
"partner_municipality.municipality_187","Varde","573"
"partner_municipality.municipality_188","Vejen","575"
"partner_municipality.municipality_189","Vejle","630"
"partner_municipality.municipality_190","Vesthimmerland","820"
"partner_municipality.municipality_191","Viborg","791"
"partner_municipality.municipality_192","Vordingborg","390"
